"B","SE","CI.LB","CI.UB","beta","p"
"-0.47","0.05","-0.57","-0.37","-.66","< .001"
"0.12","0.07","-0.01","0.26",".18",".080"
"0.00","0.06","-0.12","0.11","-.01",".958"
"-0.10","0.13","-0.36","0.15","-.08",".418"
"0.06","0.09","-0.12","0.25",".05",".511"
"0.17","0.09","0.00","0.35",".21",".053"
"0.02","0.05","-0.09","0.12",".03",".735"
"-0.44","0.08","-0.59","-0.28","-.66","< .001"
"0.23","0.06","0.11","0.35",".39","< .001"
"0.14","0.12","-0.09","0.37",".10",".236"
"-0.05","0.09","-0.22","0.12","-.04",".575"
"-0.03","0.08","-0.18","0.13","-.03",".754"
"0.02","0.05","-0.08","0.13",".03",".658"
"0.12","0.09","-0.07","0.30",".16",".207"
"-0.32","0.08","-0.48","-0.17","-.50","< .001"
"0.07","0.14","-0.20","0.33",".05",".618"
"0.03","0.10","-0.16","0.22",".02",".751"
"0.03","0.09","-0.15","0.21",".03",".753"
"0.04","0.02","0.00","0.09",".11",".069"
"-0.03","0.04","-0.10","0.04","-.07",".456"
"0.03","0.03","-0.03","0.08",".07",".393"
"-0.78","0.07","-0.93","-0.63","-.99","< .001"
"0.04","0.05","-0.06","0.13",".05",".484"
"0.45","0.05","0.35","0.54",".91","< .001"
"-0.02","0.04","-0.09","0.05","-.05",".568"
"0.02","0.05","-0.08","0.12",".04",".738"
"-0.02","0.04","-0.10","0.07","-.05",".669"
"0.21","0.08","0.06","0.37",".26",".005"
"-0.21","0.07","-0.34","-0.08","-.27",".002"
"-0.14","0.06","-0.25","-0.03","-.28",".011"
"0.04","0.03","-0.01","0.09",".10",".129"
"-0.01","0.05","-0.10","0.08","-.04",".768"
"0.02","0.04","-0.06","0.09",".05",".629"
"-0.17","0.08","-0.32","-0.01","-.22",".034"
"-0.15","0.06","-0.27","-0.04","-.21",".008"
"-0.10","0.06","-0.21","0.02","-.20",".093"
"0.52","0.07","0.40","0.65",".54","< .001"
"0.53","0.07","0.39","0.66",".49","< .001"
"0.16","0.03","0.10","0.22",".33","< .001"
"-0.12","0.03","-0.18","-0.05","-.23","< .001"
"0.27","0.05","0.17","0.36",".35","< .001"
"0.97","0.08","0.81","1.12",".84","< .001"
"0.14","0.03","0.08","0.20",".28","< .001"
"-0.08","0.03","-0.15","-0.02","-.16",".011"
"0.20","0.05","0.10","0.31",".25","< .001"
"0.14","0.04","0.07","0.21",".24","< .001"
"-0.05","0.04","-0.12","0.03","-.08",".208"
"0.24","0.06","0.12","0.35",".26","< .001"
"-0.10","0.02","-0.14","-0.07","-.39","< .001"
"0.33","0.03","0.27","0.39",".82","< .001"
"-0.22","0.03","-0.28","-0.16","-.52","< .001"
"0.10","0.03","0.04","0.16",".28",".001"
"0.09","0.03","0.03","0.16",".25",".003"
"0.00","0.01","-0.02","0.03",".02",".810"
"-0.02","0.02","-0.06","0.01","-.10",".198"
"0.00","0.01","-0.02","0.03",".01",".856"
"0.32","0.06","0.21","0.43",".74","< .001"
"0.03","0.02","0.00","0.06",".13",".081"
"0.00","0.02","-0.03","0.03","-.01",".913"
"0.04","0.01","0.01","0.06",".16",".018"
"0.02","0.02","-0.01","0.05",".08",".217"
"0.00","0.02","-0.03","0.04",".01",".834"
"0.04","0.02","0.01","0.07",".17",".011"
"-0.02","0.01","-0.03","0.00","-.15",".010"
"0.06","0.01","0.03","0.08",".48","< .001"
"-0.02","0.01","-0.04","0.00","-.14",".042"
