"B","SE","CI.LB","CI.UB","beta","p"
"-0.50","0.06","-0.63","-0.38","-.63","< .001"
"0.09","0.09","-0.09","0.27",".11",".342"
"-0.04","0.07","-0.18","0.10","-.05",".588"
"0.02","0.16","-0.30","0.34",".01",".896"
"0.19","0.11","-0.03","0.41",".13",".083"
"0.33","0.11","0.12","0.54",".33",".002"
"0.10","0.05","0.00","0.19",".14",".049"
"-0.45","0.09","-0.63","-0.28","-.64","< .001"
"0.20","0.07","0.06","0.33",".31",".004"
"0.21","0.15","-0.09","0.50",".15",".166"
"-0.10","0.09","-0.27","0.07","-.08",".244"
"-0.08","0.10","-0.28","0.11","-.10",".405"
"0.07","0.05","-0.02","0.17",".11",".134"
"0.11","0.08","-0.04","0.27",".17",".150"
"-0.31","0.06","-0.43","-0.19","-.50","< .001"
"0.11","0.15","-0.19","0.40",".08",".477"
"0.04","0.09","-0.13","0.21",".03",".670"
"0.08","0.10","-0.12","0.27",".09",".442"
"0.01","0.02","-0.04","0.05",".02",".750"
"0.02","0.04","-0.05","0.10",".06",".563"
"0.03","0.03","-0.02","0.09",".09",".237"
"-0.78","0.07","-0.92","-0.64","-.98","< .001"
"0.03","0.05","-0.07","0.13",".04",".555"
"0.44","0.05","0.34","0.53",".89","< .001"
"-0.01","0.04","-0.08","0.06","-.02",".828"
"0.06","0.05","-0.04","0.15",".14",".226"
"-0.07","0.04","-0.15","0.01","-.19",".073"
"0.21","0.08","0.06","0.37",".26",".006"
"-0.21","0.07","-0.34","-0.08","-.26",".002"
"-0.14","0.06","-0.25","-0.03","-.27",".012"
"0.03","0.03","-0.02","0.08",".08",".272"
"0.04","0.04","-0.05","0.12",".09",".422"
"-0.03","0.04","-0.10","0.04","-.09",".390"
"-0.16","0.08","-0.32","-0.01","-.22",".037"
"-0.15","0.06","-0.26","-0.04","-.21",".007"
"-0.09","0.06","-0.20","0.02","-.19",".112"
"0.57","0.06","0.44","0.69",".57","< .001"
"0.51","0.07","0.37","0.66",".46","< .001"
"0.13","0.03","0.07","0.20",".26","< .001"
"-0.08","0.03","-0.15","-0.02","-.16",".015"
"0.24","0.06","0.13","0.35",".29","< .001"
"0.88","0.07","0.75","1.02",".83","< .001"
"0.12","0.03","0.06","0.18",".25","< .001"
"-0.06","0.03","-0.12","-0.01","-.13",".026"
"0.23","0.05","0.14","0.33",".30","< .001"
"0.13","0.03","0.07","0.20",".25","< .001"
"-0.06","0.03","-0.13","0.00","-.10",".069"
"0.26","0.06","0.15","0.38",".30","< .001"
"-0.10","0.02","-0.14","-0.07","-.39","< .001"
"0.33","0.03","0.27","0.39",".82","< .001"
"-0.22","0.03","-0.28","-0.16","-.52","< .001"
"0.11","0.03","0.05","0.18",".27",".001"
"0.10","0.03","0.03","0.17",".24",".004"
"0.02","0.02","-0.01","0.05",".09",".229"
"-0.03","0.02","-0.06","0.01","-.10",".145"
"0.03","0.01","0.00","0.05",".11",".089"
"0.29","0.04","0.21","0.37",".72","< .001"
"0.03","0.01","0.00","0.06",".16",".028"
"-0.03","0.01","-0.06","0.00","-.12",".036"
"0.02","0.01","-0.01","0.04",".07",".309"
"0.04","0.01","0.01","0.07",".18",".017"
"-0.03","0.02","-0.06","0.01","-.10",".116"
"0.03","0.02","0.00","0.06",".13",".065"
"-0.02","0.01","-0.03","0.00","-.15",".011"
"0.06","0.01","0.04","0.08",".49","< .001"
"-0.02","0.01","-0.04","0.00","-.15",".026"
